#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169)
Smp_079230.1	FKBP-type peptidyl-prolyl cis-trans isomerase domain	FKBP51, N-terminal domains {Monkey (Saimiri boliviensis) [TaxId: 27679]}
Smp_079240.1	Deoxyuridine triphosphate nucleotidohydrolase	Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) {Human (Homo sapiens) [TaxId: 9606]}
Smp_079260.1	Homeobox domain	Pituitary homeobox 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_079270.1	Zinc finger, LIM-type	Cysteine-rich (intestinal) protein, CRP, CRIP {Chicken (Gallus gallus) [TaxId: 9031]}
Smp_079310.1	GOLD domain	EMP24_GP25L 
Smp_079370.1	NA	Protein Dok-7, Muscle, skeletal receptor
Smp_079380.1	Aminotransferase, class-II, pyridoxal-phosphate binding site	Serine palmitoyltransferase 1 (E.C.2.3.1.50), Serine
Smp_079380.2	Aminotransferase, class-II, pyridoxal-phosphate binding site	Serine palmitoyltransferase 1 (E.C.2.3.1.50), Serine
Smp_079400.1	Zinc finger, RING-type	EL5 RING-H2 domain {Rice (Oryza sativa) [TaxId: 4530]}
Smp_079410.1	Protein kinase domain	3-phosphoinositide dependent protein kinase-1 Pdk1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_079420.1	Ankyrin repeat	Ankyrin-R {Human (Homo sapiens) [TaxId: 9606]}
Smp_079430.1	Small GTPase	Ran {Human (Homo sapiens) [TaxId: 9606]}
Smp_079490.1	RNA recognition motif domain	Eukaryotic translation initiation factor 3
Smp_079560.1	MCM domain	DNA replication licensing factor Mcm2
Smp_079600.1	EF-hand domain	Two pore channel 3
Smp_079640.1	Major facilitator superfamily	Glycerol-3-phosphate transporter {Escherichia coli [TaxId: 562]}
Smp_079650.1	SNF2, N-terminal	Histone H3.2, Histone H4, Histone
Smp_079700.1	Ankyrin repeat	GA bindinig protein (GABP) beta 1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_079710.1	Ribosomal protein/NADH dehydrogenase domain	NADH-ubiquinone oxidoreductase b8 subunit,  CI-B8 {Human (Homo sapiens) [TaxId: 9606]}
Smp_079730.1	RNA recognition motif domain	Poly(A)-binding protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_079740.1	Cullin, N-terminal	Cullin-5, RING-box protein 2
Smp_079750.1	Ribosomal RNA processing protein 8	Methyltransf_8 
Smp_079760.1	Protein kinase domain	B-Raf kinase {Human (Homo sapiens) [TaxId: 9606]}
Smp_079770.1	Disulphide isomerase	Endoplasmic reticulum, Glycoprotein, Immunoglobulin domain
Smp_079800.1	Rab-GTPase-TBC domain	TBC1 domain family member 14
Smp_079810.1	Peptide chain release factor class I	39S ribosomal protein L2, mitochondrial
Smp_079840.1	Tetrapyrrole biosynthesis, uroporphyrinogen III synthase	Uroporphyrinogen III synthase (U3S, HemD) {Human (Homo sapiens) [TaxId: 9606]}
Smp_079860.1	Membrane bound O-acyl transferase, MBOAT	Lysophospholipid Acyltransferase, LPCAT3, membrane-bound O-acyltransferase
Smp_079910.1	Transcription factor TFIIE beta subunit, DNA-binding domain	Integrator complex subunit 1, Integrator
Smp_079920.1	Dehydrogenase, E1 component	E1-beta subunit of pyruvate dehydrogenase (PP module) {Human (Homo sapiens) [TaxId: 9606]}
Smp_079950.1	ATPase, V0 complex,  c/d subunit	V-type proton ATPase catalytic subunit
Smp_079960.1	Tubulin	tubulin gamma-1 chain (E.C.3.6.5.6)
Smp_079970.1	Tubulin	tubulin gamma-1 chain (E.C.3.6.5.6)
Smp_080100.1	Synaptophysin/synaptoporin	MARVEL 
Smp_080110.1	mRNA splicing factor Cwf18-like	Pre-mRNA-splicing factor 8, Pre-mRNA-splicing helicase
Smp_080130.1	Isoprenylcysteine carboxyl methyltransferase	Protein-S-isoprenylcysteine O-methyltransferase (E.C.2.1.1.100), monobody
Smp_080150.1	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	Cyclophilin-like protein PPIL3B {Human (Homo sapiens) [TaxId: 9606]}
Smp_080180.1	Ubiquitin-like domain superfamily	Ras association domain-containing protein 8 {Human (Homo sapiens) [TaxId: 9606]}
Smp_080210.1	CRAL-TRIO lipid binding domain	Alpha-tocopherol transfer protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_080280.1	Transcription factor IIA, alpha/beta subunit	Integrator complex subunit 1, Integrator
Smp_080320.1	WD40 repeat	Dynein assembly factor with WDR
Smp_080370.1	Basic-leucine zipper domain	CAAT/ENHANCER BINDING PROTEIN BETA/DNA COMPLEX
Smp_080420.1	Transcription factor Jun	PROTO-ONCOGENE PROTEIN C-FOS, TRANSCRIPTION FACTOR
Smp_080520.1	Zinc finger, RING-type	Immediate early protein, IEEHV {Equine herpesvirus 1 [TaxId: 10326]}
Smp_080530.1	Nucleic acid-binding, OB-fold	Replication protein A 32 kDa
Smp_080550.1	TGS	RIBOSOME-INTERACTING GTPASE 1, TRANSLATION MACHINERY-ASSOCIATED
Smp_080560.1	SKI/SNO/DAC domain	SMAD4-binding domain of oncoprotein Ski {Human (Homo sapiens) [TaxId: 9606]}
Smp_080610.1	NADH	Respiratory, Complex, ELECTRON TRANSPORT
Smp_080620.1	Asteroid	Exonuclease 1 (E.C.3.1.-.-)
Smp_080700.1	Quinoprotein alcohol dehydrogenase-like superfamily	Jnk-SapK_ap_N 
Smp_080730.1	Protein kinase domain	Cell division protein kinase 7, CDK7 {Human (Homo sapiens) [TaxId: 9606]}
Smp_080840.1	Zinc finger, HIT-type	snoRNP assembly, RNA binding, RNA
Smp_080850.1	OCRE domain	RNA-binding protein 10
Smp_080870.1	Immunoglobulin subtype	Receptor-type tyrosine-protein phosphatase S (E.C.3.1.3.48)
Smp_080920.1	Profilin	PROFILIN I
Smp_080980.1	Tim23-like	TIM23 isoform 1, COX4 isoform
Smp_081140.1	Dbl homology (DH) domain	Rho guanine nucleotide exchange factor
Smp_081190.1	Small GTPase	RhoA {Human (Homo sapiens) [TaxId: 9606]}
Smp_081200.1	Domain of unknown function DUF4200	DUF4200 
Smp_081250.1	BTB/POZ domain	Voltage-gated potassium channel subunit beta-2
Smp_081260.1	Pleckstrin homology domain	PREX1, Guanine nucleotide-binding protein G(I)/G(S)/G(T)
Smp_081380.1	Tumour protein D52	TPD52 
Smp_081420.1	Uncharacterised conserved protein UCP016642	BPL_N 
Smp_081430.1	Short-chain dehydrogenase/reductase SDR	Carbonyl reductase/20beta-hydroxysteroid dehydrogenase {Human (Homo sapiens) [TaxId: 9606]}
Smp_081450.1	Nucleoside phosphatase GDA1/CD39	Apyrase (E.C.3.6.1.5)
Smp_081460.1	6-phosphogluconolactonase, DevB-type	Glucosamine 6-phosphate deaminase/isomerase NagB {Human (Homo sapiens) [TaxId: 9606]}
Smp_081470.1	P53-induced protein	Protocadherin-15, LHFPL tetraspan subfamily member
Smp_081510.1	Dual specificity phosphatase, catalytic domain	pre-60S ribosomal subunit
Smp_081790.1	Nucleoside diphosphate kinase	Nucleoside diphosphate kinase, NDK {Human (Homo sapiens), NDK4 [TaxId: 9606]}
Smp_081820.1	3-oxo-5-alpha-steroid 4-dehydrogenase, C-terminal	3-oxo-5-alpha-steroid 4-dehydrogenase
Smp_081900.1	NA	Secreted Ly-6/uPAR-related protein 1
Smp_082030.1	DJ-1/PfpI	Protein ThiJ (YajL) {Escherichia coli [TaxId: 562]}
Smp_082050.1	Ubiquitin-conjugating enzyme E2	Ubiquitin-conjugating enzyme E2-25 kDa, E2 domain {Cow (Bos taurus) [TaxId: 9913]}
Smp_082240.1	Histone H3/CENP-A	Histone H3 {Chicken (Gallus gallus), erythrocytes [TaxId: 9031]}
Smp_082250.1	Peptidase M14, carboxypeptidase A	FAMILY M14 UNASSIGNED PEPTIDASE
Smp_082280.1	RNA recognition motif domain	U2 small nuclear ribonucleoprotein A'
Smp_082290.1	Myc-type, basic helix-loop-helix (bHLH) domain	Myod B/HLH domain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_082300.1	Phosphatidic acid phosphatase type 2/haloperoxidase	PAP2 
Smp_082360.1	NA	D(3) dopamine receptor, Guanine nucleotide-binding
Smp_082370.1	Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain	Nicotinamide nucleotide transhydrogenase
Smp_082410.1	NA	NA
Smp_082490.1	Cyclin, C-terminal domain	autoinhibition phosphate-binding pocket pseudosubstrate Scc1
Smp_082560.1	Zinc finger, RanBP2-type	Znf265, first zinc-finger domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_082570.1	Iron-binding zinc finger, CDGSH type	AT5g51720/MIO24_14
Smp_082620.1	Peptidase M48	CAAX prenyl protease 1 homolog
Smp_082660.1	B-box-type zinc finger	Transcription intermediary factor 1-beta (E.C.2.3.2.27)
Smp_082670.1	AAA  ATPase domain	AAA domain of cell division protein FtsH {Thermus thermophilus [TaxId: 274]}
Smp_082710.1	Glycosyl transferase, family 28, C-terminal	UDP-N-acetylglucosamine transferase subunit ALG13 (E.C.2.4.1.141)
Smp_082740.1	PDZ domain	Na+/H+ exchanger regulatory factor, NHERF {Human (Homo sapiens) [TaxId: 9606]}
Smp_082750.1	Histone H2A	Histone H2A {Chicken (Gallus gallus), erythrocytes [TaxId: 9031]}
Smp_082780.1	CRIB domain	Actin-related protein 3, Actin-related protein
Smp_082790.1	Transcription factor TFIIH subunit p52/Tfb2	Pre-initiation complex, TRANSCRIPTION
Smp_082800.1	Sec1-like protein	Sly1P protein {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_082810.1	Small GTPase	CDC42 {Human (Homo sapiens) [TaxId: 9606]}
Smp_082820.1	Ubiquitin-conjugating enzyme E2	Ubiquitin conjugating enzyme, UBC {Human (Homo sapiens), ubch7 [TaxId: 9606]}
Smp_082850.1	Cullin, N-terminal	DNA damage-binding protein 1, Nonstructural
Smp_082860.1	Aminoacyl-tRNA synthetase, class I, conserved site	Tryptophanyl-tRNA synthetase (TrpRS) {Human (Homo sapiens) [TaxId: 9606]}
Smp_082940.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12	NADH dehydrogenase [ubiquinone] flavoprotein 1
Smp_083020.1	Iron hydrogenase, large subunit, C-terminal	Fe-only hydrogenase, catalytic domain {Clostridium pasteurianum [TaxId: 1501]}
Smp_083030.1	Ubiquitin-conjugating enzyme E2	UBIQUITIN-CONJUGATING ENZYME E2 Z (E.C.6.3.2.19)
Smp_083040.1	Class II aldolase/adducin N-terminal	Class II aldolase/adducin domain protein
Smp_083040.2	Class II aldolase/adducin N-terminal	Class II aldolase/adducin domain protein
Smp_083080.1	Activator of Hsp90 ATPase homologue 1-like, C-terminal	ATP-dependent molecular chaperone HSC82, Hsp90
Smp_083120.1	AAA  ATPase domain	Mitochondrial chaperone BCS1
Smp_083130.1	Glycosyl transferase, family 43	1,3-Glucuronyltransferase I (glcAT-I) {Human (Homo sapiens) [TaxId: 9606]}
Smp_083150.1	G-patch domain	DUF4187 
Smp_083180.1	PIN domain	Ribosomal assembly intermediate, RIBOSOME
Smp_083200.1	Peptidase C12, ubiquitin carboxyl-terminal hydrolase	Ubiquitin C-terminal hydrolase 37
Smp_083240.1	DM9 repeat	Natterin-3
Smp_083340.1	La-type HTH domain	Lupus La autoantigen N-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_083380.1	Coiled-coil domain-containing protein 149-A	CC149 
Smp_083400.1	Ubiquitin-conjugating enzyme E2	Ubiquitin conjugating enzyme, UBC {Human (Homo sapiens), ubc13 [TaxId: 9606]}
Smp_083410.1	Elongation factor 1B gamma, C-terminal	Elongation factor 1-gamma C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_083450.1	DnaJ domain	Large T antigen, the N-terminal J domain {Simian virus 40, Sv40 [TaxId: 10633]}
Smp_083480.1	Immunoglobulin-like fold	Fc gamma receptor ectodomain (CD32) {Human (Homo sapiens), IIb [TaxId: 9606]}
Smp_083480.2	Immunoglobulin-like fold	Ig gamma-1 chain C region
Smp_083540.1	Protein-tyrosine phosphatase, catalytic	PROTEIN-PHOSPHATE COMPLEX, HYDROLASE
Smp_083650.1	Cys/Met metabolism, pyridoxal phosphate-dependent enzyme	Methionine gamma-lyase, MGL {Pseudomonas putida [TaxId: 303]}
Smp_083680.1	Ribosome biogenesis protein Nop53/GLTSCR2	Nop53 
Smp_083710.1	Helicase, C-terminal	DNA repair endonuclease XPF (E.C.3.1.-.-)
Smp_083720.1	Mitochondrial substrate/solute carrier	ADP,ATP carrier protein {Cow (Bos taurus), heart isoform t1 [TaxId: 9913]}
Smp_083730.1	NA	NA
Smp_083740.1	EF-hand domain	Myosin Essential Chain {Bay scallop (Aequipecten irradians) [TaxId: 31199]}
Smp_083770.1	Anoctamin	Anoctamin-1
Smp_083780.1	Ku70/Ku80, N-terminal alpha/beta	DNA-dependent protein kinase catalytic subunit
Smp_083790.1	Protein of unknown function DUF3512	DUF3512 
Smp_083800.1	NA	NA
Smp_083870.1	Peptidase M17, leucyl aminopeptidase, C-terminal	Leucine aminopeptidase, C-terminal domain {Cow (Bos taurus) [TaxId: 9913]}
Smp_083880.1	GPCR, rhodopsin-like, 7TM	Cannabinoid receptor 1,Flavodoxin
Smp_083930.1	Chromatin modification-related protein Eaf6	NuA4 
Smp_083940.1	G protein-coupled receptor, rhodopsin-like	P2Y purinoceptor 12, Soluble cytochrome
Smp_083950.1	NA	TAS2R 
Smp_083970.1	NA	ER membrane protein complex subunit
Smp_083980.1	Epithelial sodium channel	Amiloride-sensitive sodium channel subunit alpha
Smp_083990.1	Amino acid/polyamine transporter I	HATs, amino-acid, transporter, membrane, protein
Smp_084010.1	NA	NA
Smp_084060.1	CD20-like family	B-lymphocyte antigen CD20, Rituximab Fab
Smp_084080.1	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_084090.1	MORN motif	Muscle, membrane, ion channel, STRUCTURAL
Smp_084140.1	Sirtuin family	Sirt2 histone deacetylase {Human (Homo sapiens) [TaxId: 9606]}
Smp_084180.1	NA	NA
Smp_084270.1	NA	7TM_GPCR_Srw 
Smp_084320.1	CDP-alcohol phosphatidyltransferase	AF2299 protein,Phosphatidylinositol synthase
Smp_084380.1	Metallo-beta-lactamase	Small nuclear ribonucleoprotein Sm D3
Smp_084400.1	CTLH/CRA C-terminal to LisH motif domain	E3 ubiquitin-protein ligase RMD5 (E.C.2.3.2.27)
Smp_084460.1	Ribosomal protein L28e	ribosome
Smp_084520.1	SRR1-like domain	SRR1 
Smp_084540.1	Forkhead-associated (FHA) domain	OCRE 
Smp_084600.1	Sugar phosphate transporter	Glycerol-3-phosphate transporter {Escherichia coli [TaxId: 562]}
Smp_084610.1	UBX domain	UBX domain-containing protein 7 {Human (Homo sapiens) [TaxId: 9606]}
Smp_084620.1	Transcriptional coactivator p15 (PC4), C-terminal	Transcriptional coactivator PC4 C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_084740.1	Ubiquitin-like domain	Ubiquitin carboxyl-terminal hydrolase 14 {Human (Homo sapiens) [TaxId: 9606]}
Smp_084830.1	UDP-glucose/GDP-mannose dehydrogenase, N-terminal	Oxidoreductase, Structural Genomics, Structural Genomics
Smp_084860.1	Domain of unknown function DUF155	DUF155 
Smp_084870.1	CID domain	PCF11 protein {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_084890.1	Type I phosphodiesterase/nucleotide pyrophosphatase/phosphate transferase	Ectonucleotide pyrophosphatase/phosphodiesterase family member 6
Smp_084900.1	Initiation factor 2B-related	Translation initiation factor eIF-2B subunit
Smp_084910.1	Protein FMC1 homologue	Complex1_LYR_2 
Smp_084940.1	Small GTPase	Ras-related protein M-Ras (XRas) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_085010.1	Cysteine peptidase, cysteine active site	Cathepsin B-like peptidase (C01 family)
Smp_085010.2	Peptidase C1A, papain C-terminal	(Pro)cathepsin B {Human (Homo sapiens) [TaxId: 9606]}
Smp_085080.1	NA	cAMP-dependent protein kinase type II regulatory subunit {Mouse (Mus musculus) [TaxId: 10090]}
Smp_085110.1	Amidohydrolase-related	DIHYDROPYRIMIDINASE-RELATED PROTEIN 5
Smp_085150.1	Alpha-D-phosphohexomutase, C-terminal	Phosphoglucomutase (E.C.5.4.2.2)
Smp_085180.1	Peptidase C1A, papain C-terminal	Cathepsin B-like peptidase (C01 family)
Smp_085240.1	Phosphatidic acid phosphatase type 2/haloperoxidase	Phosphatidylglycerophosphatase (E.C.3.1.3.27, 3.6.1.27)
Smp_085290.1	Tropomyosin	ACTIN, ALPHA SKELETON MUSCLE, TROPOMYOSIN
Smp_085300.1	Ribosomal protein L22e	Ribosome
Smp_085310.1	Proteasome component (PCI) domain	26S proteasome non-ATPase regulatory subunit
Smp_085380.1	BTB/POZ domain	S-phase kinase-associated protein 1, F-box/LRR-repeat
Smp_085410.1	NA	cGMP-dependent protein kinase 1
Smp_085480.1	Sin3 associated polypeptide p18	HISTONE DEACETYLASE COMPLEX SUBUNIT SAP18
Smp_085490.1	NA	Kruppel-like factor 3, Bklf {Mouse (Mus musculus) [TaxId: 10090]}
Smp_085500.1	GNAT domain	Histone acetyltransferase, ELP3 family (E.C.2.3.1.48)
Smp_085520.1	V-type ATPase subunit E	V-type proton ATPase subunit C
Smp_085530.1	BSD domain	Synapse associated protein 1, SYAP1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_085540.1	IQ motif, EF-hand binding site	Myosin 2 heavy chain striated
Smp_085540.2	IQ motif, EF-hand binding site	Myosin 2 heavy chain striated
Smp_085640.1	Proteasome component (PCI) domain	COP9 SIGNALOSOME COMPLEX SUBUNIT 1
Smp_085650.1	EF-hand domain	Frequenin (neuronal calcium sensor 1) {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_085680.1	Protein kinase domain	Adenylyl cyclase IIC1, domain C2a {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_085690.1	Protein kinase domain	Pkb kinase (Akt-2) {Human (Homo sapiens) [TaxId: 9606]}
Smp_085700.1	AGC-kinase, C-terminal	cAMP-dependent PK, catalytic subunit {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_085740.1	SH3 domain	Cytoplasmic FMR1-interacting protein 1, Nck-associated
Smp_085750.1	Zinc finger protein NOA36	NOA36 
Smp_085750.2	Zinc finger protein NOA36	NOA36 
Smp_085780.1	Ribosomal protein L10P	39S ribosomal protein L32, mitochondrial
Smp_085790.1	NA	NA
Smp_085830.1	TMEM9/TMEM9B	Tmemb_9 
Smp_085830.2	TMEM9/TMEM9B	Tmemb_9 
Smp_085840.1	NA	NA
Smp_085910.1	SMAD domain, Dwarfin-type	Smad3 MH2 domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_086030.1	Leucine-rich repeat	Splicesomal U2A' protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_086060.1	NA	Uncharacterized protein
Smp_086190.1	AdipoR/Haemolysin-III-related	HUMAN ADIPONECTIN RECEPTOR 2, single-chain
Smp_086210.1	Short-chain dehydrogenase/reductase, conserved site	Dihydropteridin reductase (pteridine reductase) {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_086220.1	NA	HCG40889, isoform CRA_b, Complement regulator-acquiring
Smp_086270.1	Fork head domain	Adipocyte-transcription factor FREAC-11 (s12, fkh-14) {Human (Homo sapiens) [TaxId: 9606]}
Smp_086330.1	Calponin repeat	Transgelin {Mouse (Mus musculus) [TaxId: 10090]}
Smp_086330.2	Calponin repeat	Transgelin {Mouse (Mus musculus) [TaxId: 10090]}
Smp_086450.1	Pseudouridine synthase I, TruA	pseudouridine, pus, pus1, rna, synthase
Smp_086460.1	THO complex, subunitTHOC2, C-terminal	THO complex subunit 1, THO
Smp_086470.1	Dynein light chain, type 1/2	CALCIUM BINDING PROTEIN
Smp_086480.1	Dynein light chain, type 1/2	CALCIUM BINDING PROTEIN
Smp_086530.1	Dynein light chain, type 1/2	CALCIUM BINDING PROTEIN
Smp_086590.1	Actin-depolymerising factor homology domain	Cofilin (actin depolymerizing factor, ADF) {Human (Homo sapiens), non-muscle isoform [TaxId: 9606]}
Smp_086630.1	NA	DUF1161 
Smp_086690.1	Protein kinase domain	Dual specificity mitogen-activated protein kinase kinase 1, Mek1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_086710.1	Peptide chain release factor class I	Cryo-EM, Mammalian, mito-ribosome, mtEFg2, mtRRF
Smp_086750.1	Zinc finger C2H2-type	Cohesin subunit SA-2, Double-strand-break repair
Smp_086760.1	Phosducin, thioredoxin-like domain	TRiC, CCT, ATP hydrolysis, type
Smp_086760.2	Phosducin, thioredoxin-like domain	TRiC, CCT, ATP hydrolysis, type
Smp_086830.1	Band 7 domain	membrane microdomain organization, MEMBRANE PROTEIN
Smp_086860.1	Histone H2A	macro-H2A.1, histone domain {Human (Homo sapiens) [TaxId: 9606]}
Smp_086900.1	Small GTP-binding protein domain	ADP-ribosylation factor {Baker's yeast (Saccharomyces cerevisiae), ARL1 [TaxId: 4932]}
Smp_086910.1	Ribosome biogenesis protein Nop16	pre-60S ribosomal subunit
Smp_086960.1	Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain	Lipoate-protein ligase A (E.C.6.3.4.-), Glycine
Smp_087010.1	DNA-directed DNA polymerase, family B, exonuclease domain	DNA polymerase delta catalytic subunit
Smp_087220.1	Double-stranded RNA-binding domain	Ribonuclease 3, Microprocessor complex subunit
Smp_087250.1	Zinc finger, LIM-type	Cysteine-rich (intestinal) protein, CRP, CRIP {Chicken (Gallus gallus) [TaxId: 9031]}
Smp_087270.1	Helicase, C-terminal	Pre-mRNA-splicing factor ATP-dependent RNA helicase
Smp_087320.1	Zinc finger, CCCH-type	Butyrate response factor 2 (Tis11D) {Human (Homo sapiens) [TaxId: 9606]}
Smp_087330.1	Protein of unknown function DUF4807	DUF4807 
Smp_087340.1	mRNA export factor GLE1-like	Nucleoporin GLE1, Nucleoporin like 2
Smp_087440.1	Ribosomal protein L3	39S ribosomal protein L32, mitochondrial
Smp_087520.1	TATA-box binding protein	TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT
Smp_087520.2	TATA-box binding protein	TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT
Smp_087550.1	NA	Cytochrome c oxidase subunit 1
Smp_087560.1	Dynein regulatory complex protein 1/2, N-terminal	Dynein regulatory complex subunit 4
Smp_087560.2	Dynein regulatory complex protein 1/2, N-terminal	Dynein regulatory complex subunit 4
Smp_087580.1	BRO1 domain	PROGRAMMED CELL DEATH 6-INTERACTING PROTEIN
Smp_087620.1	BRO1 domain	coiled-coil, Apoptosis, Cytoplasm, Host-virus interaction
Smp_087690.1	Protease inhibitor I35 (TIMP)	PROTEINASE, ZINC-ENDOPEPTIDASE, PROTEINASE INHIBITOR, COMPLEX
Smp_087760.1	Ferritin	(Apo)ferritin {Mouse (Mus musculus) [TaxId: 10090]}
Smp_087810.1	GTP binding domain	Nucleolar GTP-binding protein 2, Nucleolar
Smp_087820.1	PLAC8 motif-containing protein	PLAC8 
Smp_087860.1	Phosphomannomutase	Phosphomannomutase 1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_087870.1	NA	NA
Smp_087920.1	THIF-type NAD/FAD binding fold	Amyloid beta precursor protein-binding protein 1, APPBP1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_087930.1	ABC transporter-like, ATP-binding domain	Haemolysin B ATP-binding protein {Escherichia coli [TaxId: 562]}
Smp_087940.1	Autophagy protein Atg8 ubiquitin-like	Golgi-associated ATPase enhancer of 16 kD, Gate-16 {Cow (Bos taurus) [TaxId: 9913]}
Smp_088090.1	NA	NA
Smp_088240.1	TVP18/Calcium channel flower	Cg6151-P 
Smp_088250.1	Cyclin, N-terminal	Meiotic mRNA stability protein kinase
Smp_088270.1	Peptidase M14, carboxypeptidase A	Procarboxypeptidase B
Smp_088310.1	Pleckstrin homology domain	Phosphoinositide phospholipase C,  PLC-gamma-1 {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_088360.1	NA	neuropeptide F, Moniezia expansa, NPF
Smp_088390.1	Galactose-binding-like domain superfamily	Hypothetical protein AT3g04780/F7O18_27 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_088420.1	NA	NA
Smp_088420.2	NA	NA
Smp_088460.1	Transcription initiation factor IIF, alpha subunit	DNA-directed RNA polymerase II, Transcription
Smp_088550.1	RNA recognition motif domain	U4/U6 snRNA-associated-splicing factor PRP24 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_088600.1	CCR4-Not complex component, Not N-terminal domain	Not3 
Smp_088650.1	Small GTP-binding protein domain	ADP-ribosylation factor {Human (Homo sapiens), ARF6 [TaxId: 9606]}
Smp_088660.1	SANT/Myb domain	Nuclear receptor corepressor 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_088700.1	NA	NA
Smp_088720.1	Galactose-binding-like domain superfamily	CIA30 
Smp_088920.1	Protein kinase domain	Death-associated protein kinase, Dap {Human (Homo sapiens) [TaxId: 9606]}
Smp_088940.1	Zinc finger C2HC domain-containing protein	NOB1_Zn_bind 
Smp_088950.1	Heat shock protein 70 family	Heat shock protein homolog SSE1
Smp_088950.2	Heat shock protein 70 family	Heat shock protein homolog SSE1
Smp_088990.1	IBR domain	E3 ubiquitin-protein ligase parkin (E.C.6.3.2.-)
Smp_089000.1	Translocon-associated	TRAP-delta 
Smp_089050.1	Zinc finger, CCCH-type	Spliceosomal protein U1C {Human (Homo sapiens) [TaxId: 9606]}
Smp_089060.1	RNA recognition motif domain	RNA-binding protein UBP1 {Trypanosoma cruzi [TaxId: 5693]}
Smp_089100.1	Gamma-glutamyltranspeptidase	Gamma-glutamyltranspeptidase, GGT {Escherichia coli [TaxId: 562]}
Smp_089180.1	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	Ubiquitin carboxyl-terminal hydrolase 7 (E.C.3.4.19.12,3.4.19.12)
Smp_089200.1	ABC transporter-like, ATP-binding domain	ATP-dependent translocase ABCB1 (E.C.7.6.2.2,7.6.2.1)
Smp_089200.2	ABC transporter-like, ATP-binding domain	ATP-dependent translocase ABCB1 (E.C.7.6.2.2,7.6.2.1)
Smp_089220.1	Tetratricopeptide-like helical domain superfamily	Regulator of microtubule dynamics protein
Smp_089230.1	Zinc finger, RING-type	E3 ubiquitin ligase, Ring1b, Bmi1
Smp_089240.1	N-acetylglucosaminyltransferase II	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (E.C.2.4.1.143)
Smp_089290.1	Glycoside hydrolase family 27/36, conserved site	Melibiase {Human (Homo sapiens) [TaxId: 9606]}
Smp_089320.1	P-loop containing nucleoside triphosphate hydrolase	Sulfotransfer_4 
Smp_089330.1	P-loop containing nucleoside triphosphate hydrolase	Sulfotransfer_4 
Smp_089370.1	P-loop containing nucleoside triphosphate hydrolase	Sulfotransfer_4 
Smp_089400.1	Armadillo-like helical	Beta-catenin-like protein 1
Smp_089430.1	Ubiquitin-like domain	uL2, uL15, uL3, eL29, uL4
Smp_089460.1	Cysteine peptidase, cysteine active site	cysteine protease, inhibitor, Cell membrane
Smp_089570.1	Stress-associated endoplasmic reticulum protein	RAMP4 
Smp_089590.1	Mannose-6-phosphate isomerase, type I	Phosphomannose isomerase {Yeast (Candida albicans) [TaxId: 5476]}
Smp_089630.1	WW domain	THIOREDOXIN-LIKE PROTEIN 4A, POLYGLUTAMINE-BINDING PROTEIN
