#Transcript_ID	GFF_annotation	HHsearch_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169,3.2.1.-)
Smp_123620.1	OTU domain	OTU domain-containing protein 5 (E.C.3.4.19.12)
Smp_123630.1	Peptidase C19, ubiquitin carboxyl-terminal hydrolase	TATA-binding protein, Transcriptional coactivator HFI1/ADA1
Smp_123640.1	GPCR kinase	G protein-coupled receptor kinase 4
Smp_123670.1	Histidine phosphatase superfamily, clade-2	Prostatic acid phosphatase {Human (Homo sapiens) [TaxId: 9606]}
Smp_123690.1	tRNA-splicing endonuclease, subunit Sen54, N-terminal	tRNA-splicing endonuclease (E.C.3.1.27.9), NEQ261
Smp_123710.1	Biotin/lipoyl attachment	Acetyl-CoA carboxylase 1 (E.C.6.4.1.2,6.3.4.14), Breast
Smp_123710.2	Biotin/lipoyl attachment	Acetyl-CoA carboxylase 1 (E.C.6.4.1.2,6.3.4.14), Breast
Smp_123720.1	Sodium/solute symporter	SSF 
Smp_123720.2	Sodium/solute symporter	SSF 
Smp_123720.3	Sodium/solute symporter	SSF 
Smp_123810.1	Interferon regulatory factor 2-binding protein 1 & 2, zinc finger	Protein c14orf4 (KIAA1865) {Human (Homo sapiens) [TaxId: 9606]}
Smp_123820.1	NA	RCR 
Smp_123820.2	NA	RCR 
Smp_123830.1	Fibrillar collagen, C-terminal	Collagen alpha-1(I) chain, Collagen alpha-2(I)
Smp_123840.1	EGF-like domain	Neurexin-1-alpha
Smp_123850.1	Histone-fold	Histone H2A {Chicken (Gallus gallus), erythrocytes [TaxId: 9031]}
Smp_123860.1	EGF-like domain	Neurexin-1-alpha
Smp_123870.1	Synaptobrevin	Vesicle-associated membrane protein 2, Syntaxin-1A
Smp_123900.1	NA	Type II deoxyuridine triphosphatase {Campylobacter jejuni [TaxId: 197]}
Smp_123910.1	Intraflagellar transport protein 20	IFT20 
Smp_123910.2	Intraflagellar transport protein 20	IFT20 
Smp_123920.1	NA	Notch1, Dll4
Smp_123940.1	XPG/Rad2 endonuclease, eukaryotes	Flap endonuclease GEN homolog 1/DNA
Smp_124000.1	NA	uL2, uL3, Ribosomal protein L4
Smp_124000.2	NA	uL2, uL3, Ribosomal protein L4
Smp_124010.1	Homeobox domain	Pituitary homeobox 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_124020.1	Sulfotransferase	maltose binding protein - heparan
Smp_124030.1	NA	polypeptide N-acetylgalactosaminyltransferase 9 (E.C.2.4.1.41)
Smp_124030.2	NA	NA
Smp_124030.3	NA	polypeptide N-acetylgalactosaminyltransferase 9 (E.C.2.4.1.41)
Smp_124050.1	Cysteine-rich  secretory protein-related	Pathogenesis-related protein 1 (PR1) {Tomato (Lycopersicon esculentum), P14a [TaxId: 4081]}
Smp_124050.2	Cysteine-rich  secretory protein-related	Pathogenesis-related protein 1 (PR1) {Tomato (Lycopersicon esculentum), P14a [TaxId: 4081]}
Smp_124050.3	Cysteine-rich  secretory protein-related	Pathogenesis-related protein 1 (PR1) {Tomato (Lycopersicon esculentum), P14a [TaxId: 4081]}
Smp_124060.1	Cysteine-rich  secretory protein-related	Golgi-associated PR-1 protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_124070.1	Cysteine-rich  secretory protein-related	Golgi-associated PR-1 protein {Human (Homo sapiens) [TaxId: 9606]}
Smp_124080.1	Potassium channel, calcium-activated, BK, beta subunit	Voltage-gated potassium channel
Smp_124100.1	Suppressor of white apricot, N-terminal domain	DRY_EERY 
Smp_124100.2	Suppressor of white apricot, N-terminal domain	DRY_EERY 
Smp_124110.1	Forkhead-associated (FHA) domain	Kinase associated protein phosphatase {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_124120.1	DNA polymerase epsilon, subunit B	DNA polymerase epsilon subunit 2
Smp_124120.2	DNA polymerase alpha/delta/epsilon, subunit B	DNA polymerase epsilon catalytic subunit
Smp_124120.3	DNA polymerase alpha/delta/epsilon, subunit B	DNA polymerase epsilon catalytic subunit
Smp_124130.1	Protein kinase domain	Cell division protein kinase 7, CDK7 {Human (Homo sapiens) [TaxId: 9606]}
Smp_124150.1	NA	NA
Smp_124160.1	Methyltransferase type 11	Possible histamine N-methyltransferase TM1293 {Thermotoga maritima [TaxId: 2336]}
Smp_124210.1	Ephrin receptor ligand binding domain	Ephrin type-A receptor 4 (E.C.2.7.10.1)
Smp_124210.2	Ephrin receptor ligand binding domain	Ephrin type-A receptor 4 (E.C.2.7.10.1)
Smp_124210.3	Ephrin receptor ligand binding domain	Ephrin type-A receptor 4 (E.C.2.7.10.1)
Smp_124210.4	NA	NA
Smp_124230.1	AAA  ATPase domain	DNA repair protein RAD51 (E.C.3.1.22.4)
Smp_124240.1	Sodium/potassium-transporting ATPase subunit beta	Potassium-transporting ATPase alpha chain 1
Smp_124240.2	Sodium/potassium-transporting ATPase subunit beta	Na, K-ATPase alpha subunit, Na+,K+-ATPase
Smp_124280.1	NA	NA
Smp_124290.1	NA	FAM183 
Smp_124300.1	Ergosterol biosynthesis ERG4/ERG24	ERG4_ERG24 
Smp_124320.1	Ribosomal protein L4/L1e	MITORIBOSOMAL PROTEIN BL27M, MRPL27, MITORIBOSOMAL
Smp_124340.1	Acyltransferase 3	Acyl_transf_3 
Smp_124350.1	WD40 repeat	Coatomer beta'-subunit, Coatomer subunit alpha
Smp_124350.2	WD40 repeat	Coatomer beta'-subunit, Coatomer subunit alpha
Smp_124350.3	WD40 repeat	Coatomer beta'-subunit, Coatomer subunit alpha
Smp_124380.1	Leucine-rich repeat	Rab geranylgeranyltransferase alpha-subunit, C-terminal domain {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_124390.1	Patatin-like phospholipase domain	Type III secretion system effector
Smp_124420.1	NA	PKHD_C 
Smp_124430.1	Clathrin/coatomer adaptor, adaptin-like, N-terminal	ADP-RIBOSYLATION FACTOR 1, COATOMER SUBUNIT
Smp_124440.1	Carbohydrate kinase, FGGY	Glycerol kinase (E.C.2.7.1.30)
Smp_124450.1	Ser/Thr protein kinase, TGFB receptor	Type I TGF-beta receptor R4 {Human (Homo sapiens) [TaxId: 9606]}
Smp_124460.1	ABC transporter-like	60s ribosomal protein l41, 40S
Smp_124470.1	Adenylyl cyclase class-3/4/guanylyl cyclase	Soluble guanylyl cyclase alpha-1 subunit
Smp_124490.1	WD40 repeat	Ribosome biogenesis protein YTM1, Ribosome
Smp_124490.2	NA	NA
Smp_124510.1	NA	Rim binding protein 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_124520.1	EF-hand domain	EF-hand_5 
Smp_124590.1	Leucine-rich repeat	Internalin A {Listeria monocytogenes [TaxId: 1639]}
Smp_124600.1	AP-1 transcription factor	TRANSCRIPTION FACTOR MAFB
Smp_124650.1	NA	U1 SNP1-associating protein 1, Degradation
Smp_124650.2	NA	U1 SNP1-associating protein 1, Degradation
Smp_124660.1	Sec7 domain	IQ motif and SEC7 domain-containing
Smp_124700.1	Armadillo-type fold	Serine/threonine-protein phosphatase 2A activator (E.C.5.2.1.8)
Smp_124710.1	C2 domain	C2 domain from protein kinase c (beta) {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_124720.1	NA	Ephrin 
Smp_124740.1	NA	NA
Smp_124740.2	NA	NA
Smp_124750.1	NA	conserved hypothetical protein PAE0151
Smp_124750.2	NA	conserved hypothetical protein PAE0151
Smp_124760.1	NA	NA
Smp_124760.2	NA	NA
Smp_124770.1	Cilia- and flagella-associated protein 157	DUF4515 
Smp_124770.2	Cilia- and flagella-associated protein 157	DUF4515 
Smp_124820.1	Importin-beta, N-terminal domain	Chromosome region maintenance 1 (CRM1)
Smp_124840.1	Zinc finger, UBR-type	Histone H3.2, Histone H4, Histone
Smp_124850.1	Protein kinase domain	Bruton's Tyrosine Kinase (E.C.2.7.10.2)
Smp_124860.1	Methyltransferase Ppm1/Ppm2/Tcmp	Leucine carboxy methyltransferase Ppm1 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_124860.2	Methyltransferase Ppm1/Ppm2/Tcmp	Leucine carboxy methyltransferase Ppm1 {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_124870.1	NA	Activity-regulated cytoskeleton associated protein 1
Smp_124890.1	NA	DUF2613 
Smp_124920.1	Endoplasmic reticulum oxidoreductin 1	ERO1-like protein alpha (E.C.1.8.4.-)
Smp_124940.1	2Fe-2S ferredoxin-type iron-sulfur binding domain	Adrenodoxin {Cow (Bos taurus) [TaxId: 9913]}
Smp_124940.2	2Fe-2S ferredoxin-type iron-sulfur binding domain	Adrenodoxin {Cow (Bos taurus) [TaxId: 9913]}
Smp_124980.1	Tumor necrosis factor alpha-induced protein 8-like	Tumor necrosis factor alpha-induced protein
Smp_125020.1	Dynein light chain, type 1/2	Dynein light chain 1 (DLC1) {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_125040.1	NA	Nucleoporin_FG2 
Smp_125050.1	PWWP domain	PC4 and SFRS1-interacting protein,LEDGF/p75 IBD-JPO2
Smp_125070.1	Pyridoxal-phosphate dependent enzyme	CYSTATHIONINE BETA-SYNTHASE (E.C.4.2.1.22)
Smp_125080.1	Peptidase M14, carboxypeptidase A	FAMILY M14 UNASSIGNED PEPTIDASE
Smp_125080.2	Peptidase M14, carboxypeptidase A	FAMILY M14 UNASSIGNED PEPTIDASE
Smp_125130.1	Intimal thickness related receptor, IRP	GpcrRhopsn4 
Smp_125150.1	Glycosyltransferase 61	DUF563 
Smp_125160.1	Frizzled/Smoothened, transmembrane domain	Smoothened homolog,Flavodoxin,Smoothened homolog
Smp_125200.1	Major intrinsic protein	Glycerol uptake facilitator protein GlpF {Escherichia coli [TaxId: 562]}
Smp_125200.2	Major intrinsic protein	Glycerol uptake facilitator protein GlpF {Escherichia coli [TaxId: 562]}
Smp_125210.1	Major intrinsic protein	Glycerol uptake facilitator protein GlpF {Escherichia coli [TaxId: 562]}
Smp_125250.1	NA	Ly-6/neurotoxin-like protein 1
Smp_125260.1	Tetratricopeptide-like helical domain superfamily	Huntingtin, Factor VIII intron 22
Smp_125270.1	Protein kinase domain	Cyclin-dependent PK, CDK6 {Human (Homo sapiens) [TaxId: 9606]}
Smp_125280.1	F-box domain	F-box/WD repeat-containing protein 7, FBXW7 {Human (Homo sapiens) [TaxId: 9606]}
Smp_125290.1	cDENN domain	DENN domain-containing protein 1A, Ras-related
Smp_125300.1	NA	Maltose-binding periplasmic protein,Pilin isopeptide linkage
Smp_125300.2	NA	Maltose-binding periplasmic protein,Pilin isopeptide linkage
Smp_125300.3	NA	NA
Smp_125320.1	NA	NA
Smp_125340.1	PWWP domain	Hepatoma-derived growth factor, HDGF {Human (Homo sapiens) [TaxId: 9606]}
Smp_125340.2	PWWP domain	Hepatoma-derived growth factor, HDGF {Human (Homo sapiens) [TaxId: 9606]}
Smp_125350.1	Cholinesterase	Acetylcholinesterase {Mouse (Mus musculus) [TaxId: 10090]}
Smp_125360.1	Protein kinase domain	Carboxyl-terminal Src kinase(E.C.2.7.1.112)
Smp_125370.1	Protein kinase domain	Fl cytokine receptor {Human (Homo sapiens) [TaxId: 9606]}
Smp_125390.1	NA	DUF2654 
Smp_125400.1	Myc-type, basic helix-loop-helix (bHLH) domain	DNA-BINDING PROTEIN INHIBITOR ID-2
Smp_125420.1	GPCR, family 2, secretin-like	Guanine nucleotide-binding protein G(i) subunit
Smp_125440.1	FERM domain	FERM, RhoGEF and pleckstrin domain
Smp_125450.1	Protein kinase domain	Serine/threonine-protein kinase TBK1 (E.C.2.7.11.1)
Smp_125460.1	Zinc finger, RING-type	Deltex protein 2 RING-H2 domain {Mouse (Mus musculus) [TaxId: 10090]}
Smp_125480.1	PDZ domain	Zasp (Cypher, Oracle 1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_125490.1	Peptidase M13, domain 2	Neprilysin (E.C.3.4.24.11)
Smp_125500.1	Prenylcysteine lyase	Prenylcys_lyase 
Smp_125510.1	Cadherin-like	Protocadherin-15
Smp_125520.1	NA	Protein arginine methyltransferase NDUFAF7 homolog
Smp_125520.2	Protein arginine methyltransferase NDUFAF7	Hypothetical protein RPA4359 {Rhodopseudomonas palustris [TaxId: 1076]}
Smp_125520.3	Protein arginine methyltransferase NDUFAF7	Hypothetical protein RPA4359 {Rhodopseudomonas palustris [TaxId: 1076]}
Smp_125550.1	Ribosome control protein 1	RIC1 
Smp_125550.2	Ribosome control protein 1	RIC1 
Smp_125560.1	AMP-dependent synthetase/ligase	Luciferase {Firefly (Photinus pyralis) [TaxId: 7054]}
Smp_125600.1	NA	NA
Smp_125600.2	Homeobox domain	Homeotic bicoid protein {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_125630.1	High mobility group box domain	Lymphoid enhancer-binding factor, LEF1 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_125640.1	Target SNARE coiled-coil homology domain	Syntaxin-binding protein 1, Syntaxin-1A
Smp_125650.1	Inositol polyphosphate kinase	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
Smp_125650.2	Inositol polyphosphate kinase	IPK 
Smp_125660.1	Nucleotide-binding alpha-beta plait domain superfamily	Heterogeneous nuclear ribonucleoprotein H' {Human (Homo sapiens) [TaxId: 9606]}
Smp_125670.1	GTP binding domain	GTPase ObgE/CgtA (E.C.3.6.5.-)
Smp_125730.1	NA	NA
Smp_125730.2	Zinc finger, LIM-type	DNA endonuclease RBBP8, LIM domain
Smp_125730.3	NA	NA
Smp_125740.1	NA	EVC2_like 
Smp_125740.2	NA	NA
Smp_125760.1	WD40 repeat	Tup1, C-terminal domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
Smp_125770.1	Ubiquitin domain	Large proline-rich protein BAT3 {Human (Homo sapiens) [TaxId: 9606]}
Smp_125780.1	Phosphatidyl serine synthase	PSS 
Smp_125780.2	Phosphatidyl serine synthase	PSS 
Smp_125780.3	Phosphatidyl serine synthase	PSS 
Smp_125790.1	Actin family	RuvB-like helicase (E.C.3.6.4.12), Ino80, Uncharacterized
Smp_125790.2	Actin family	RuvB-like helicase (E.C.3.6.4.12), Ino80, Uncharacterized
Smp_125790.3	Actin family	RuvB-like helicase (E.C.3.6.4.12), Ino80, Uncharacterized
Smp_125800.1	Armadillo-type fold	DNA MISMATCH REPAIR PROTEIN HSM3
Smp_125800.2	Armadillo-type fold	DNA MISMATCH REPAIR PROTEIN HSM3
Smp_125800.3	Armadillo-type fold	DNA MISMATCH REPAIR PROTEIN HSM3
Smp_125810.1	Zinc finger C2H2-type	Zinc finger protein 568/DNA Complex
Smp_125810.2	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_125810.3	Zinc finger C2H2-type	Zinc finger protein 297b {Human (Homo sapiens) [TaxId: 9606]}
Smp_125810.4	Zinc finger C2H2-type	Transcriptional repressor CTCF/DNA Complex
Smp_125820.1	NA	NA
Smp_125820.2	NA	NA
Smp_125870.1	Armadillo-like helical	Importin alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_125870.2	Armadillo-like helical	Importin alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_125870.3	Armadillo-like helical	Importin alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_125890.1	DNA photolyase, N-terminal	Deoxyribodipyrimidine photo-lyase (E.C.4.1.99.3)
Smp_125890.2	DNA photolyase, N-terminal	Bacterial class III photolyase 
Smp_125900.1	Protein SCAI	SCAI 
Smp_125930.1	Leucine-rich repeat	Outer arm dynein light chain 1 {Green algae (Chlamydomonas reinhardtii) [TaxId: 3055]}
Smp_125940.1	NA	NA
Smp_125940.2	NA	Synaptotagmin III {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_125940.3	NA	Synaptotagmin III {Rat (Rattus norvegicus) [TaxId: 10116]}
Smp_125960.1	NA	NA
Smp_125980.1	Tetratricopeptide-like helical domain superfamily	PARTNER OF INSCUTEABLE, RE60102P
Smp_126000.1	Cilia- and flagella-associated protein 54	DUF4486 
Smp_126000.2	Cilia- and flagella-associated protein 54	DUF4486 
Smp_126000.3	NA	NA
Smp_126000.4	NA	NA
Smp_126020.1	Fe-S hydro-lyase, tartrate dehydratase alpha-type, catalytic domain	Fumarate hydratase 2 (E.C.4.2.1.2)
Smp_126020.2	Fe-S hydro-lyase, tartrate dehydratase alpha-type, catalytic domain	fumarate hydratase (E.C.4.2.1.2)
Smp_126030.1	Homeobox domain	PBC 
Smp_126050.1	Cadherin-like	Protocadherin-15
Smp_126070.1	NA	NA
Smp_126080.1	Arrestin	Bovine arrestin-2 (full length)
Smp_126080.2	Arrestin	Bovine arrestin-2 (full length)
Smp_126110.1	AAA  ATPase domain	Spastin (E.C.5.6.1.1), polyglutamate peptide
Smp_126140.1	Integrin alpha chain	Integrin alpha-V, Integrin beta-3
Smp_126170.1	FYVE zinc finger	Rab5-bind 
Smp_126170.2	NA	Rabaptin 
Smp_126170.3	FYVE zinc finger	Rab5-bind 
Smp_126200.1	Nitrogen permease regulator 2	GATOR complex protein NPRL2, GATOR
Smp_126200.2	NA	NPR2 
Smp_126210.1	NA	NA
Smp_126210.2	NA	NA
Smp_126220.1	NA	NA
Smp_126230.1	NA	NA
Smp_126240.1	Protein kinase domain	Twitchin, kinase domain {California sea hare (Aplysia californica), twk43 [TaxId: 6500]}
Smp_126240.2	Protein kinase domain	Twitchin, kinase domain {California sea hare (Aplysia californica), twk43 [TaxId: 6500]}
Smp_126260.1	Calcineurin-like phosphoesterase domain, ApaH type	Protein phosphatase-2B (PP-2B, calcineurin A subunit) {Human (Homo sapiens) [TaxId: 9606]}
Smp_126290.1	NA	XPA_N 
Smp_126300.1	P-type ATPase	Sodium/potassium-transporting ATPase subunit alpha-1 (E.C.3.6.3.9)
Smp_126310.1	PDZ domain	Alpha-1-syntrophin
Smp_126310.2	PDZ domain	Alpha-1-syntrophin
Smp_126360.1	NA	Galactose oxidase, N-terminal domain {Fungi (Fusarium sp.) [TaxId: 29916]}
Smp_126370.1	RNA polymerase, subunit H/Rpb5 C-terminal	DNA-directed RNA polymerase II subunit
Smp_126370.2	RNA polymerase, subunit H/Rpb5 C-terminal	DNA-directed RNA polymerase II subunit
Smp_126420.1	NA	NA
Smp_126450.1	ABC transporter-like	ATP-binding cassette sub-family G member
Smp_126450.2	ABC transporter-like	Maltose transport protein MalK, N-terminal domain {Escherichia coli [TaxId: 562]}
Smp_126450.3	ABC-2 type transporter	ATP-binding cassette sub-family G member
Smp_126460.1	Protein kinase domain	Serine/threonine-protein kinase Nek2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_126470.1	Proteasome assembly chaperone 4	UGGT
Smp_126480.1	Calponin repeat	IQGAP1 protein
Smp_126490.1	Lon, substrate-binding domain	Lon protease (E.C.3.4.21.53)
Smp_126490.2	Lon, substrate-binding domain	Lon protease (E.C.3.4.21.53)
Smp_126520.1	SH3 domain	Hrs {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_126530.1	Ets domain	GA binding protein (GABP) alpha {Mouse (Mus musculus) [TaxId: 10090]}
Smp_126540.1	Quinoprotein alcohol dehydrogenase-like superfamily	Surface layer protein {Archaeon Methanosarcina mazei [TaxId: 2209]}
Smp_126540.2	Collagenase NC10/endostatin	Endostatin domain of collagen alpha1(xv) {Mouse (Mus musculus) [TaxId: 10090]}
Smp_126560.1	Helix-turn-helix motif	Pituitary homeobox 2 {Human (Homo sapiens) [TaxId: 9606]}
Smp_126580.1	NA	Calcium-activated potassium channel subunit alpha-1
Smp_126620.1	NA	Ligand-binding domain of low-density lipoprotein receptor {Human (Homo sapiens) [TaxId: 9606]}
Smp_126640.1	Immunoglobulin subtype 2	Defective proboscis extension response 2
Smp_126640.2	Immunoglobulin subtype 2	Dpr-interacting protein theta
Smp_126670.1	Proteasome assembly chaperone 2, eukaryotic	Proteasome component C7-alpha (E.C.3.4.25.1), Proteasome
Smp_126680.1	NA	PPPI_inhib 
Smp_126680.2	Protein phosphatase 1 regulatory subunit 36	PPPI_inhib 
Smp_126680.3	Protein phosphatase 1 regulatory subunit 36	PPPI_inhib 
Smp_126690.1	JAB1/MPN/MOV34 metalloenzyme domain	Activated Human 26S Proteasome
Smp_126690.2	JAB1/MPN/MOV34 metalloenzyme domain	Activated Human 26S Proteasome
Smp_126720.1	Pre-mRNA-splicing factor Isy1	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_126720.2	Pre-mRNA-splicing factor Isy1	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_126720.3	Pre-mRNA-splicing factor Isy1	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_126720.4	Pre-mRNA-splicing factor Isy1	Pre-mRNA-processing-splicing factor 8, 116 kDa
Smp_126730.1	G protein-coupled receptor, rhodopsin-like	7tm_1 
Smp_126740.1	Protein kinase domain	Cytoplasmic export protein 1
Smp_126740.2	Protein kinase domain	pak1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_126750.1	YhhN-like	YhhN 
Smp_126760.1	Armadillo-type fold	Proteasome subunit alpha type-2 (E.C.3.4.25.1)
Smp_126760.2	Armadillo-type fold	Proteasome subunit alpha type-2 (E.C.3.4.25.1)
Smp_126760.3	Armadillo-type fold	Proteasome component C7-alpha (E.C.3.4.25.1), Proteasome
Smp_126770.1	Islet cell autoantigen Ica1, C-terminal	Arfaptin 
Smp_126800.1	Rho GTPase-activating protein domain	Unconventional myosin-VIIa, cDNA FLJ51329, highly
Smp_126800.2	Rho GTPase-activating protein domain	Unconventional myosin-VIIa, cDNA FLJ51329, highly
Smp_126800.3	Rho GTPase-activating protein domain	Unconventional myosin-VIIa, cDNA FLJ51329, highly
Smp_126800.4	WW domain	WW domain-binding protein 4
Smp_126820.1	Armadillo-type fold	PP2A A subunit, PP2A C
Smp_126840.1	Zinc finger, LIM-type	T-CELL ACUTE LYMPHOCYTIC LEUKEMIA PROTEIN
Smp_126850.1	G-patch domain	Nuclear ribonucleoprotein A1 (RNP A1, UP1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_126860.1	NA	RNA_pol_Rpc4 
Smp_126910.1	WD40 repeat	rpS18_uS13, rpS4_eS4, rpS5_uS7, rpS6_eS6, rpS7_eS7
Smp_126910.2	WD40 repeat	rpS18_uS13, rpS4_eS4, rpS5_uS7, rpS6_eS6, rpS7_eS7
Smp_126920.1	Organic solute transporter subunit alpha/Transmembrane protein 184	Solute_trans_a 
Smp_126970.1	WD40/YVTN repeat-like-containing domain superfamily	U3 small nucleolar RNA-associated protein
Smp_126990.1	Synapsin	rat synapsin I
Smp_127010.1	Zinc finger, TAZ-type	Histone acetyltransferase p300 (E.C.2.3.1.48), p53
Smp_127010.2	NA	NA
Smp_127010.3	Zinc finger, TAZ-type	Histone acetyltransferase p300 (E.C.2.3.1.48), p53
Smp_127030.1	Peptidase M8, leishmanolysin	Leishmanolysin {Leishmania major [TaxId: 5664]}
Smp_127050.1	RAD50, zinc hook	Structural maintenance of chromosomes protein
Smp_127060.1	Protein kinase domain	Cell cycle checkpoint kinase chk1 {Human (Homo sapiens) [TaxId: 9606]}
Smp_127080.1	NA	Treslin_N 
Smp_127110.1	N-end aminoacyl transferase, N-terminal	ATE_C 
Smp_127110.2	N-end aminoacyl transferase, N-terminal	ATE_C 
Smp_127120.1	ATP-dependent RNA helicase DEAD-box, conserved site	Ribosome biogenesis protein RLP7, Ribosome
Smp_127130.1	Cysteine-rich  secretory protein-related	Pathogenesis-related protein 1 (PR1) {Tomato (Lycopersicon esculentum), P14a [TaxId: 4081]}
Smp_127140.1	NA	Rhomboid family protein At3g58460 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
Smp_127160.1	Cytochrome b5-like heme/steroid binding domain	Cytochrome b5 reductase 4 (E.C.1.6.2.2)
Smp_127180.1	Zinc finger, PHD-type	PHD Inhibitor of growth protein 2, Ing2 {Mouse (Mus musculus) [TaxId: 10090]}
Smp_127190.1	NA	NA
Smp_127200.1	Sugar/inositol transporter	Sugar_tr 
Smp_127220.1	NA	Corticotropin-releasing factor receptor 1
Smp_127240.1	Homeobox domain	Maltose-binding periplasmic protein, Homeobox protein
Smp_127240.2	Homeobox domain	Maltose-binding periplasmic protein, Homeobox protein
Smp_127240.3	Homeobox domain	Maltose-binding periplasmic protein, Homeobox protein
Smp_127270.1	Cytochrome b561/ferric reductase transmembrane	Cytochrome b reductase 1 (E.C.1.-.-.-)
Smp_127270.2	Cytochrome b561/ferric reductase transmembrane	Cytochrome b reductase 1 (E.C.1.-.-.-)
Smp_127280.1	Membrane bound O-acyl transferase, MBOAT	Seipin
Smp_127280.2	Sterol O-acyltransferase, ACAT/DAG/ARE types	Seipin
Smp_127280.3	Membrane bound O-acyl transferase, MBOAT	Seipin
Smp_127280.4	NA	Transcriptional regulator NadR, NMN-adenylyltransferase domain {Haemophilus influenzae [TaxId: 727]}
Smp_127280.5	Membrane bound O-acyl transferase, MBOAT	Seipin
Smp_127310.1	G protein-coupled receptor, rhodopsin-like	Chimera of Proteinase-activated receptor 1
Smp_127360.1	NA	NA
Smp_127370.1	Glycosyl transferase, family 14	beta-1,6-N-acetylglucosaminyltransferase (E.C.2.4.1.102)
Smp_127380.1	HAP1, N-terminal	HAP1_N 
Smp_127380.2	HAP1, N-terminal	HAP1_N 
Smp_127380.3	HAP1, N-terminal	HAP1_N 
Smp_127430.1	NA	Probable metalloprotease ARX1, rRNA-processing protein
Smp_127430.2	NA	Probable metalloprotease ARX1, rRNA-processing protein
Smp_127440.1	NA	NA
Smp_127440.2	NA	NA
Smp_127440.3	Centrosome-associated protein 350	NA
Smp_127440.4	Centrosome-associated protein 350	NA
Smp_127450.1	IQ motif, EF-hand binding site	MYOSIN 2 HEAVY CHAIN STRIATED
Smp_127460.1	Translin-associated factor X-interacting protein 1, N-terminal	TSNAXIP1_N 
Smp_127460.2	Translin-associated factor X-interacting protein 1, N-terminal	TSNAXIP1_N 
Smp_127460.3	Translin-associated factor X-interacting protein 1, N-terminal	TSNAXIP1_N 
Smp_127460.4	Translin-associated factor X-interacting protein 1, N-terminal	TSNAXIP1_N 
Smp_127470.1	NA	NA
Smp_127480.1	von Willebrand factor, type A	VWA_3 
Smp_127480.2	NA	PcfJ 
Smp_127480.3	NA	PcfJ 
Smp_127480.4	von Willebrand factor, type A	VWA_3 
Smp_127490.1	Helicase, C-terminal	BLOOM'S SYNDROME HELICASE (E.C.3.6.4.12)
Smp_127500.1	NA	NA
Smp_127500.2	Low-density lipoprotein (LDL) receptor class A repeat	Hemoglobin linker chain l1 {Common earthworm (Lumbricus terrestris) [TaxId: 6398]}
Smp_127500.3	Low-density lipoprotein (LDL) receptor class A repeat	Hemoglobin linker chain l1 {Common earthworm (Lumbricus terrestris) [TaxId: 6398]}
Smp_127520.1	PDZ domain	Galpha interacting protein, GaIP {Human (Homo sapiens) [TaxId: 9606]}
Smp_127520.2	PDZ domain	Galpha interacting protein, GaIP {Human (Homo sapiens) [TaxId: 9606]}
Smp_127520.3	RGS domain	Galpha interacting protein, GaIP {Human (Homo sapiens) [TaxId: 9606]}
Smp_127520.4	PDZ domain	Galpha interacting protein, GaIP {Human (Homo sapiens) [TaxId: 9606]}
Smp_127580.1	Ribonuclease II/R	Dis3L2/RNA Complex
Smp_127580.2	Ribonuclease II/R	Dis3L2/RNA Complex
Smp_127580.3	DIS3-like exonuclease 2, C-terminal	Dis3L2/RNA Complex
Smp_127600.1	Cyclin-like	Cyclin-dependent protein kinase PHO85 (E.C.2.7.11.22)
Smp_127600.2	Cyclin-like	Cyclin-dependent protein kinase PHO85 (E.C.2.7.11.22)
Smp_127620.1	K Homology domain	FMR1 protein
